What planet is closest to the Sun?,Mercury
What is the chemical symbol for gold?,Au
What is the chemical symbol for iron?,Fe
What is the chemical symbol for sodium?,Na
What is the chemical symbol for potassium?,K
What gas do plants absorb from the atmosphere?,Carbon dioxide
What is the powerhouse of the cell?,Mitochondria
What is the speed of light in km/s?,300000
What planet is known as the Red Planet?,Mars
How many bones are in the adult human body?,206
What is the hardest natural substance?,Diamond
What element has the atomic number 1?,Hydrogen
What is the largest organ in the human body?,Skin
What type of animal is a dolphin?,Mammal
What is the boiling point of water in Celsius?,100
What planet has the most moons?,Saturn
What is the chemical formula for water?,H2O
What is the chemical formula for table salt?,NaCl
What force keeps planets in orbit around the Sun?,Gravity
Who developed the theory of general relativity?,Einstein
What is the most abundant gas in Earth's atmosphere?,Nitrogen
How many chromosomes do humans have?,46
What is the smallest bone in the human body?,Stapes
What part of the plant conducts photosynthesis?,Leaf
What is the freezing point of water in Fahrenheit?,32
What is the largest planet in our solar system?,Jupiter
What is the smallest planet in our solar system?,Mercury
What type of rock is formed from cooled lava?,Ignite
What vitamin does the Sun help your body produce?,Vitamin D
What is the main gas found in the Sun?,Hydrogen
How many teeth does an adult human have?,32
What is measured in decibels?,Sound
What organ pumps blood around the body?,Heart
What is the study of fossils called?,Palaeontology
What colour is chlorophyll?,Green
What is the longest bone in the human body?,Femur
How many planets are in our solar system?,8
What metal is liquid at room temperature?,Mercury
What is the centre of an atom called?,Nucleus
What is the pH of pure water?,7
