In what year did World War I begin?,1914
In what year did World War II end?,1945
Who was the first President of the United States?,George Washington
What ancient wonder was located in Alexandria?,Lighthouse
Which empire built Machu Picchu?,Inca
What year did the Berlin Wall fall?,1989
Who painted the Mona Lisa?,Leonardo da Vinci
What ship sank on its maiden voyage in 1912?,Titanic
Which country was the first to land on the Moon?,United States
What year did the French Revolution begin?,1789
Who discovered penicillin?,Alexander Fleming
What was the last dynasty of China?,Qing
Which Roman emperor famously fiddled while Rome burned?,Nero
What year was the Magna Carta signed?,1215
Who was the first woman to fly solo across the Atlantic?,Amelia Earhart
What ancient civilization built the pyramids at Giza?,Egyptians
In what year did Christopher Columbus reach the Americas?,1492
What was the name of the first satellite launched into space?,Sputnik
Who wrote the Communist Manifesto?,Karl Marx
What war was fought between the North and South of the United States?,Civil War
Which queen ruled England for 63 years until 1901?,Victoria
What year did the Roman Empire fall?,476
Who was the leader of the Soviet Union during World War II?,Stalin
What event started World War I?,Assassination of Archduke Franz Ferdinand
What ancient city was destroyed by Mount Vesuvius?,Pompeii
Who was the first Emperor of Rome?,Augustus
What year did India gain independence?,1947
Who led the Mongol Empire at its peak?,Genghis Khan
What was the longest war in history?,Reconquista
In what year was the United Nations founded?,1945
Who invented the printing press?,Gutenberg
What civilization invented democracy?,Greeks
What year did the Titanic sink?,1912
Who was the first Tudor monarch of England?,Henry VII
What treaty ended World War I?,Treaty of Versailles
Which country gifted the Statue of Liberty to the USA?,France
What year did apartheid end in South Africa?,1994
Who was the famous nurse during the Crimean War?,Florence Nightingale
What empire was ruled from Constantinople?,Byzantine
Who was the youngest British Prime Minister?,William Pitt the Younger
