What is the longest river in the world?,Nile
What is the largest desert in the world?,Sahara
What is the tallest mountain in the world?,Everest
What is the smallest country in the world?,Vatican City
What is the largest country by area?,Russia
What ocean is the largest?,Pacific
What is the deepest ocean trench?,Mariana Trench
On which continent is the Amazon Rainforest?,South America
What is the largest lake in Africa?,Victoria
What strait separates Europe and Africa?,Strait of Gibraltar
What is the longest mountain range in the world?,Andes
Which river flows through London?,Thames
What is the driest continent?,Antarctica
Which country has the most islands?,Sweden
What is the largest island in the world?,Greenland
Which African country has the largest population?,Nigeria
What sea lies between Europe and Africa?,Mediterranean
Which river flows through Paris?,Seine
What is the highest waterfall in the world?,Angel Falls
Which country is known as the Land of the Rising Sun?,Japan
What is the largest continent by area?,Asia
What is the smallest continent by area?,Australia
Which two countries share the longest border?,Canada and USA
What mountain range separates Europe and Asia?,Urals
Which country has the most time zones?,France
What is the saltiest body of water on Earth?,Dead Sea
Which river is the longest in Europe?,Volga
What is the capital of the only country named after a line of latitude?,Quito
What body of water separates the UK from France?,English Channel
In which country would you find Mount Kilimanjaro?,Tanzania
What is the largest reef system in the world?,Great Barrier Reef
Which country is both in Europe and Asia?,Turkey
What is the windiest continent?,Antarctica
Which river flows through Cairo?,Nile
What is the most populated city in the world?,Tokyo
What is the driest desert in the world?,Atacama
Which ocean is the smallest?,Arctic
What is the highest capital city in the world?,La Paz
Which country has the most natural lakes?,Canada
What is the largest gulf in the world?,Gulf of Mexico
